Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot,Set Up
Basic Algorithms,Front Left,Disconnected Pairs,F2L12_Front Left.png,F2L12,U' (L' U2 L) (U' L' U L),(L' U L) (U' L' U L) U' (L' U' L),,,(L' U' L U) (L' U2 L U)
Basic Algorithms,Front Left,Disconnected Pairs,F2L13_Front Left.png,F2L13,(l' U l) U2 (l' U' l),F (R U2 R') F',,,(l' U l) U2 (l' U' l)
Basic Algorithms,Front Left,Disconnected Pairs,F2L14_Front Left.png,F2L14,L' U (L U2 L') U' L,U2 (L' U' L) (U' L' U L),,,L' U (L U2 L') U' L
Basic Algorithms,Front Left,Connected Pairs,F2L15_Front Left.png,F2L15,(L' U L) (U' L' U L) U2 (L' U L),L U2 L2 U' L2 U' L',,,(L' U' L) U2 (L' U' L U) (L' U' L)
Basic Algorithms,Front Left,Connected Pairs,F2L16_Front Left.png,F2L16,U (L' U2 L) U' (F U F'),U (L' U2 L) d' (L U L'),,,F U' F' U (L' U2 L) U'
Basic Algorithms,Front Left,Connected Pairs,F2L17_Front Left.png,F2L17,U (L' U L U') (L' U' L),y' (R U' R') U2 (R U' R' U) F' U F,,,(L' U L U) (L' U' L U')
Basic Algorithms,Front Left,Connected Pairs,F2L18_Front Left.png,F2L18,d' L (U' L' U L) U L',y U' L (U' L' U L) U L',,,L U' (L' U' L U) L' d
Basic Algorithms,Front Left,Connected Pairs,F2L19_Front Left.png,F2L19,(L' U L) U2 (F U F'),F U2 (R U R' U) F',,,F U' F' U2 (L' U' L)
Basic Algorithms,Front Left,Connected Pairs,F2L20_Front Left.png,F2L20,F (U' R U' R') U2 F',L' U' (L U2 L') U L (U' L' U L),,,F U2 (R U R' U) F'
Basic Algorithms,Front Left,Connected Pairs,F2L21_Front Left.png,F2L21,y L U2 (L' U' L U) L',(L F' L' F) (L' U L) (U' L' U L),,,L (U' L' U L) U2 L' y'
Basic Algorithms,Front Left,Connected Pairs,F2L22_Front Left.png,F2L22,(L' U2 L) (U L' U' L),,,,(L' U L U') (L' U2 L)
Basic Algorithms,Front Left,Connected Pairs,F2L23_Front Left.png,F2L23,F' (U' L' U L) F (L' U L),F U' (R U R' U) (R U2 R') F',,,(L' U' L) F' (L' U' L U) F
Basic Algorithms,Front Left,Connected Pairs,F2L24_Front Left.png,F2L24,(U' L' U L) (U L' U L) (U' L' U L),U' (F' r U r') U' (L' U' L),,,(L' U' L U) (L' U' L U') (L' U' L U)
Basic Algorithms,Front Left,Corner In Slot,F2L25_Front Left.png,F2L25,(U' L' U L) (F' r U r'),(U' L' U L) (F' L F L'),,,(r U' r') F (L' U' L U)
Basic Algorithms,Front Left,Corner In Slot,F2L26_Front Left.png,F2L26,(r U r') U' r' F r F',U (L F' L' F) (L' U' L),,,F r' F' r U (r U' r')
Basic Algorithms,Front Left,Corner In Slot,F2L27_Front Left.png,F2L27,(L' U' L U) (F' r U r'),(L' U' L U) (F' L F L'),,,(r U' r') F (U' L' U L)
Basic Algorithms,Front Left,Corner In Slot,F2L28_Front Left.png,F2L28,(L' U L) (U' L' U L),L' U L2 F' L' F,,,(L' U' L U) (L' U' L)
